 ;2014
Poland;7.5
Netherlands;9.9
Slovak Republic;5.7
Sweden;4.5
Turkey;4.5
United Kingdom;6.5
Moldova;1.4
France;4.6
Estonia;14.8
Cyprus;5.3
Bulgaria;5.9
Belarus;6.7
Armenia;1.9
Albania;2.0
Andorra;5.8
Austria;6.9
Azerbaijan;3.9
Belgium;8.3
Bosnia and Herzegovina;6.2
Channel Islands;..
Croatia;4.0
Czech Republic;9.2
Denmark;5.9
Faroe Islands;12.2
Finland;8.7
Georgia;2.4
Germany;8.9
Gibraltar;15.5
Greece;6.2
Greenland;9.0
Hungary;4.3
Iceland;6.1
Ireland;7.3
Italy;5.3
Kazakhstan;14.4
Kyrgyz Republic;1.6
Latvia;3.5
Liechtenstein;1.2
Lithuania;4.4
Luxembourg;17.4
Montenegro;3.6
North Macedonia;3.6
Norway;9.3
Portugal;4.3
Romania;3.5
Russian Federation;11.9
San Marino;..
Serbia;5.3
Slovenia;6.2
Spain;5.0
Switzerland;4.3
Tajikistan;0.6
Turkmenistan;12.5
Ukraine;5.0
Uzbekistan;3.4
"Created from: World Development Indicators
Series : CO2 emissions (metric tons per capita)";
